Iso2c,Iso3c,Country,Year,Population
AL,ALB,Albania,2019,2854191
AD,AND,Andorra,2019,77142
AT,AUT,Austria,2019,8877067
BY,BLR,Belarus,2019,9466856
BE,BEL,Belgium,2019,11484055
BA,BIH,Bosnia and Herzegovina,2019,3301000
BG,BGR,Bulgaria,2019,6975761
HR,HRV,Croatia,2019,4067500
CZ,CZE,Czech Republic,2019,10669709
DK,DNK,Denmark,2019,5818553
EE,EST,Estonia,2019,1326590
FI,FIN,Finland,2019,5520314
FR,FRA,France,2019,67059887
DE,DEU,Germany,2019,83132799
GR,GRC,Greece,2019,10716322
HU,HUN,Hungary,2019,9769949
IS,ISL,Iceland,2019,361313
IE,IRL,Ireland,2019,4941444
IT,ITA,Italy,2019,60297396
LV,LVA,Latvia,2019,1912789
LT,LTU,Lithuania,2019,2786844
LU,LUX,Luxembourg,2019,619896
MD,MDA,Moldova,2019,2657637
MC,MCO,Monaco,2019,38964
NL,NLD,Netherlands,2019,17332850
NO,NOR,Norway,2019,5347896
PL,POL,Poland,2019,37970874
PT,PRT,Portugal,2019,10269417
RO,ROU,Romania,2019,19356544
RU,RUS,Russia,2019,144373535
SM,SMR,San Marino,2019,33860
RS,SRB,Serbia,2019,6944975
SK,SVK,Slovak Republic,2019,5454073
SI,SVN,Slovenia,2019,2087946
ES,ESP,Spain,2019,47076781
SE,SWE,Sweden,2019,10285453
CH,CHE,Switzerland,2019,8574832
UA,UKR,Ukraine,2019,44385155
GB,GBR,United Kingdom,2019,66834405
